narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,narration_number,narration_number_large,verb_noun_pair,affordance,irr-action,grasp-type,affordance_classes,irr-action_classes,action_classes,verb_classes
P01_01_35,P01,P01_01,00:01:40.169,00:01:43.02,00:01:43.77,6181,6226,close cupboard,close,4,cupboard,3,['cupboard'],[3],1.0035,10001.0035,close--cupboard,push0,push,0,2,2,6,0
P01_01_38,P01,P01_01,00:02:04.479,00:02:02.13,00:02:06.98,7327,7618,turn on hob,turn-on,6,hob,24,['hob'],[24],1.0038,10001.0038,turn-on--hob,rotate5,rotate,5,8,6,12,5
P01_01_47,P01,P01_01,00:04:23.199,00:04:25.06,00:04:26.44,15903,15986,open drawer,open,3,drawer,8,['drawer'],[8],1.0047,10001.0047,open--drawer,pull4,pull,4,1,1,3,1
P01_01_48,P01,P01_01,00:04:26.970,00:04:28.57,00:04:29.24,16114,16154,close drawer,close,4,drawer,8,['drawer'],[8],1.0048,10001.0048,close--drawer,push0,push,0,2,2,9,0
P01_01_49,P01,P01_01,00:04:29.020,00:04:30.43,00:04:32.16,16225,16329,take spatula,take,0,spatula,20,['spatula'],[20],1.0049,10001.0049,take--spatula,pick3,pick,3,4,4,13,3
P01_01_56,P01,P01_01,00:04:52.960,00:04:54.35,00:04:55.60,17661,17736,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0056,10001.0056,put-down--spatula,place3,place,3,5,3,14,2
P01_01_61,P01,P01_01,00:05:13.669,00:05:15.03,00:05:15.94,18901,18956,close tap,turn-off,8,tap,0,['tap'],[0],1.0061,10001.0061,turn-off--tap,press0,press,0,6,5,10,4
P01_01_66,P01,P01_01,00:05:44.470,00:05:46.01,00:05:47.67,20760,20860,put down cutting board and knife,put-down,1,board:cutting,18,"['board:cutting', 'knife']","[18, 4]",1.0066,10001.0066,put-down--board:cutting,place1,place,1,3,3,5,2
P01_01_69,P01,P01_01,00:05:58.319,00:06:00.21,00:06:01.84,21612,21710,open fridge,open,3,fridge,12,['fridge'],[12],1.0069,10001.0069,open--fridge,pull4,pull,4,1,1,1,1
P01_01_71,P01,P01_01,00:06:01.800,00:06:03.07,00:06:04.15,21784,21849,close fridge,close,4,fridge,12,['fridge'],[12],1.0071,10001.0071,close--fridge,push0,push,0,2,2,2,0
P01_01_72,P01,P01_01,00:06:06.080,00:06:07.34,00:06:08.34,22040,22100,take spatula,take,0,spatula,20,['spatula'],[20],1.0072,10001.0072,take--spatula,pick3,pick,3,4,4,13,3
P01_01_74,P01,P01_01,00:06:16.289,00:06:17.83,00:06:19.31,22669,22758,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0074,10001.0074,put-down--spatula,place3,place,3,5,3,14,2
P01_01_80,P01,P01_01,00:06:27.810,00:06:30.52,00:06:31.28,23431,23476,take spatula,take,0,spatula,20,['spatula'],[20],1.008,10001.008,take--spatula,pick3,pick,3,4,4,13,3
P01_01_81,P01,P01_01,00:06:29.470,00:06:30.95,00:06:32.13,23457,23527,take knife,take,0,knife,4,['knife'],[4],1.0081,10001.0081,take--knife,pick3,pick,3,4,4,7,3
P01_01_82,P01,P01_01,00:06:30.470,00:06:32.59,00:06:38.75,23555,23925,cut onion,cut,7,onion,16,['onion'],[16],1.0082,10001.0082,cut--onion,move(press)5,move(press),5,9,7,15,6
P01_01_83,P01,P01_01,00:06:50.509,00:06:35.40,00:06:47.03,23724,24421,still cutting onion,cut,7,onion,16,['onion'],[16],1.0083,10001.0083,cut--onion,move(press)5,move(press),5,9,7,15,6
P01_01_84,P01,P01_01,00:06:39.710,00:06:48.39,00:07:02.18,24503,25330,still cutting onion,cut,7,onion,16,['onion'],[16],1.0084,10001.0084,cut--onion,move(press)5,move(press),5,9,7,15,6
P01_01_85,P01,P01_01,00:07:04.300,00:07:04.69,00:07:06.42,25481,25585,put down knife,put-down,1,knife,4,['knife'],[4],1.0085,10001.0085,put-down--knife,place3,place,3,5,3,8,2
P01_01_88,P01,P01_01,00:07:10.080,00:07:09.91,00:07:17.77,25794,26266,pour water into kettle,pour-into,9,water,27,"['water', 'kettle']","[27, 44]",1.0088,10001.0088,pour-into--water,hold1,hold,1,10,8,16,7
P01_01_89,P01,P01_01,00:07:18.189,00:07:17.00,00:07:23.16,26220,26589,still pouring water,pour,9,water,27,['water'],[27],1.0089,10001.0089,pour--water,hold1,hold,1,10,8,17,8
P01_01_90,P01,P01_01,00:07:19.930,00:07:21.50,00:07:22.25,26490,26535,close tap,turn-off,8,tap,0,['tap'],[0],1.009,10001.009,turn-off--tap,press0,press,0,6,5,10,4
P01_01_92,P01,P01_01,00:07:28.199,00:07:30.08,00:07:30.80,27004,27048,take spatula,take,0,spatula,20,['spatula'],[20],1.0092,10001.0092,take--spatula,pick3,pick,3,4,4,13,3
P01_01_97,P01,P01_01,00:07:49.680,00:07:51.45,00:07:52.70,28287,28362,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.0097,10001.0097,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_99,P01,P01_01,00:07:55.560,00:07:56.74,00:07:59.32,28604,28759,close cupboard,close,4,cupboard,3,['cupboard'],[3],1.0099,10001.0099,close--cupboard,push0,push,0,2,2,6,0
P01_01_101,P01,P01_01,00:08:00.020,00:08:01.47,00:08:02.21,28888,28932,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.0101,10001.0101,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_107,P01,P01_01,00:08:14.550,00:08:15.80,00:08:16.99,29748,29819,close lid,close,4,lid,6,['lid'],[6],1.0107,10001.0107,close--lid,press1,press,1,11,5,18,0
P01_01_109,P01,P01_01,00:08:21.050,00:08:22.35,00:08:23.31,30141,30198,take plate,take,0,plate,2,['plate'],[2],1.0109,10001.0109,take--plate,pick1,pick,1,12,4,19,3
P01_01_110,P01,P01_01,00:08:25.669,00:08:24.66,00:08:27.92,30279,30475,put plate down,put-down,1,plate,2,['plate'],[2],1.011,10001.011,put-down--plate,place1,place,1,3,3,20,2
P01_01_111,P01,P01_01,00:08:26.759,00:08:28.16,00:08:29.94,30489,30596,open drawer,open,3,drawer,8,['drawer'],[8],1.0111,10001.0111,open--drawer,pull4,pull,4,1,1,3,1
P01_01_114,P01,P01_01,00:08:35.200,00:08:36.81,00:08:38.05,31008,31082,open drawer,open,3,drawer,8,['drawer'],[8],1.0114,10001.0114,open--drawer,pull4,pull,4,1,1,3,1
P01_01_115,P01,P01_01,00:08:36.460,00:08:37.88,00:08:39.13,31072,31147,take fork,take,0,fork,14,['fork'],[14],1.0115,10001.0115,take--fork,pick3,pick,3,4,4,21,3
P01_01_116,P01,P01_01,00:08:37.650,00:08:39.34,00:08:40.25,31160,31215,put down fork,put-down,1,fork,14,['fork'],[14],1.0116,10001.0116,put-down--fork,place3,place,3,5,3,22,2
P01_01_117,P01,P01_01,00:08:39.140,00:08:41.19,00:08:42.08,31271,31324,take spatula,take,0,spatula,20,['spatula'],[20],1.0117,10001.0117,take--spatula,pick3,pick,3,4,4,13,3
P01_01_121,P01,P01_01,00:09:04.130,00:09:06.39,00:09:07.42,32783,32845,open fridge,open,3,fridge,12,['fridge'],[12],1.0121,10001.0121,open--fridge,pull4,pull,4,1,1,1,1
P01_01_124,P01,P01_01,00:09:11.520,00:09:13.41,00:09:14.49,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20],1.0124,10001.0124,take--spatula,pick3,pick,3,4,4,13,3
P01_01_140,P01,P01_01,00:10:52.590,00:10:54.75,00:10:55.75,39285,39345,take spatula,take,0,spatula,20,['spatula'],[20],1.014,10001.014,take--spatula,pick3,pick,3,4,4,13,3
P01_01_142,P01,P01_01,00:11:01.010,00:11:02.55,00:11:03.55,39753,39813,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.0142,10001.0142,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_144,P01,P01_01,00:11:10.540,00:11:07.31,00:11:14.16,40038,40449,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],1.0144,10001.0144,put-down--saucepan,place4,place,4,7,3,23,2
P01_01_147,P01,P01_01,00:11:22.750,00:11:23.41,00:11:37.36,41004,41841,pour water into saucepan,pour-into,9,water,27,"['water', 'saucepan']","[27, 5]",1.0147,10001.0147,pour-into--water,hold1,hold,1,10,8,16,7
P01_01_154,P01,P01_01,00:11:56.240,00:11:57.92,00:11:58.80,43075,43128,take spatula,take,0,spatula,20,['spatula'],[20],1.0154,10001.0154,take--spatula,pick3,pick,3,4,4,13,3
P01_01_157,P01,P01_01,00:12:01.540,00:12:02.45,00:12:03.55,43347,43413,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],1.0157,10001.0157,put-down--board:cutting,place1,place,1,3,3,5,2
P01_01_163,P01,P01_01,00:12:32.020,00:12:33.09,00:12:34.49,45185,45269,open drawer,open,3,drawer,8,['drawer'],[8],1.0163,10001.0163,open--drawer,pull4,pull,4,1,1,3,1
P01_01_164,P01,P01_01,00:12:34.510,00:12:34.95,00:12:36.70,45297,45402,take spoon,take,0,spoon,1,['spoon'],[1],1.0164,10001.0164,take--spoon,pick3,pick,3,4,4,24,3
P01_01_169,P01,P01_01,00:12:44.460,00:12:46.10,00:12:46.78,45966,46006,put down spoon,put-down,1,spoon,1,['spoon'],[1],1.0169,10001.0169,put-down--spoon,place3,place,3,5,3,25,2
P01_01_171,P01,P01_01,00:12:48.110,00:12:49.54,00:12:50.27,46172,46216,take spatula,take,0,spatula,20,['spatula'],[20],1.0171,10001.0171,take--spatula,pick3,pick,3,4,4,13,3
P01_01_173,P01,P01_01,00:12:50.660,00:12:51.40,00:12:52.66,46284,46359,adjust hob,adjust,17,hob,24,['hob'],[24],1.0173,10001.0173,adjust--hob,rotate3,rotate,3,13,6,26,9
P01_01_177,P01,P01_01,00:13:38.450,00:13:39.54,00:13:40.87,49172,49252,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0177,10001.0177,put-down--spatula,place3,place,3,5,3,14,2
P01_01_178,P01,P01_01,00:13:39.560,00:13:41.22,00:13:42.41,49273,49344,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.0178,10001.0178,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_180,P01,P01_01,00:13:44.300,00:13:44.28,00:13:45.77,49456,49546,put down something,put-down,1,knife,4,['knife'],[4],1.018,10001.018,put-down--knife,place3,place,3,5,3,8,2
P01_01_184,P01,P01_01,00:13:58.950,00:14:00.71,00:14:01.64,50442,50498,take spatula,take,0,spatula,20,['spatula'],[20],1.0184,10001.0184,take--spatula,pick3,pick,3,4,4,13,3
P01_01_187,P01,P01_01,00:14:22.410,00:14:24.26,00:14:25.31,51855,51918,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0187,10001.0187,put-down--spatula,place3,place,3,5,3,14,2
P01_01_189,P01,P01_01,00:14:28.250,00:14:29.59,00:14:31.03,52175,52261,take knife,take,0,knife,4,['knife'],[4],1.0189,10001.0189,take--knife,pick3,pick,3,4,4,7,3
P01_01_195,P01,P01_01,00:15:02.690,00:15:04.17,00:15:05.18,54250,54310,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0195,10001.0195,put-down--spatula,place3,place,3,5,3,14,2
P01_01_200,P01,P01_01,00:15:19.570,00:15:21.64,00:15:22.39,55298,55343,take spatula,take,0,spatula,20,['spatula'],[20],1.02,10001.02,take--spatula,pick3,pick,3,4,4,13,3
P01_01_207,P01,P01_01,00:15:51.990,00:15:53.95,00:15:55.00,57237,57300,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.0207,10001.0207,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_210,P01,P01_01,00:15:57.870,00:15:59.49,00:16:00.51,57569,57630,take spatula,take,0,spatula,20,['spatula'],[20],1.021,10001.021,take--spatula,pick3,pick,3,4,4,13,3
P01_01_213,P01,P01_01,00:16:13.610,00:16:13.41,00:16:24.80,58404,59088,pour water into bottle,pour-into,9,water,27,"['water', 'bottle']","[27, 15]",1.0213,10001.0213,pour-into--water,hold1,hold,1,10,8,16,7
P01_01_217,P01,P01_01,00:16:33.190,00:16:34.54,00:16:37.07,59672,59824,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.0217,10001.0217,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_219,P01,P01_01,00:16:45.910,00:16:47.68,00:16:49.46,60460,60567,close drawer,close,4,drawer,8,['drawer'],[8],1.0219,10001.0219,close--drawer,push0,push,0,2,2,9,0
P01_01_220,P01,P01_01,00:16:48.350,00:16:49.94,00:16:50.89,60596,60653,take spatula,take,0,spatula,20,['spatula'],[20],1.022,10001.022,take--spatula,pick3,pick,3,4,4,13,3
P01_01_222,P01,P01_01,00:16:56.740,00:16:58.21,00:17:00.21,61092,61212,adjust,adjust,17,hob,24,['hob'],[24],1.0222,10001.0222,adjust--hob,rotate3,rotate,3,13,6,26,9
P01_01_225,P01,P01_01,00:17:12.129,00:17:13.60,00:17:14.56,62015,62073,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0225,10001.0225,put-down--spatula,place3,place,3,5,3,14,2
P01_01_226,P01,P01_01,00:17:14.730,00:17:15.04,00:17:17.63,62102,62257,take spoon,take,0,spoon,1,['spoon'],[1],1.0226,10001.0226,take--spoon,pick3,pick,3,4,4,24,3
P01_01_228,P01,P01_01,00:17:25.799,00:17:20.23,00:17:28.68,62413,62920,put down,put-down,1,glass,10,['glass'],[10],1.0228,10001.0228,put-down--glass,place1,place,1,3,3,27,2
P01_01_229,P01,P01_01,00:17:20.669,00:17:21.52,00:17:26.04,62491,62762,put down glass,put-down,1,glass,10,['glass'],[10],1.0229,10001.0229,put-down--glass,place1,place,1,3,3,27,2
P01_01_230,P01,P01_01,00:17:24.799,00:17:26.31,00:17:28.40,62778,62904,open drawer,open,3,drawer,8,['drawer'],[8],1.023,10001.023,open--drawer,pull4,pull,4,1,1,3,1
P01_01_231,P01,P01_01,00:17:29.220,00:17:31.67,00:17:32.77,63100,63166,take spatula,take,0,spatula,20,['spatula'],[20],1.0231,10001.0231,take--spatula,pick3,pick,3,4,4,13,3
P01_01_233,P01,P01_01,00:17:44.700,00:17:46.54,00:17:47.60,63992,64055,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0233,10001.0233,put-down--spatula,place3,place,3,5,3,14,2
P01_01_239,P01,P01_01,00:18:04.429,00:18:06.44,00:18:07.95,65186,65277,take spatula,take,0,spatula,20,['spatula'],[20],1.0239,10001.0239,take--spatula,pick3,pick,3,4,4,13,3
P01_01_243,P01,P01_01,00:18:50.129,00:18:51.93,00:18:53.76,67915,68025,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0243,10001.0243,put-down--spatula,place3,place,3,5,3,14,2
P01_01_246,P01,P01_01,00:19:37.500,00:19:38.58,00:19:40.53,70714,70831,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0246,10001.0246,put-down--spatula,place3,place,3,5,3,14,2
P01_01_248,P01,P01_01,00:20:12.460,00:20:14.16,00:20:15.40,72849,72924,take spatula,take,0,spatula,20,['spatula'],[20],1.0248,10001.0248,take--spatula,pick3,pick,3,4,4,13,3
P01_01_249,P01,P01_01,00:20:23.120,00:20:15.19,00:20:25.84,72911,73550,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0249,10001.0249,put-down--spatula,place3,place,3,5,3,14,2
P01_01_251,P01,P01_01,00:20:24.179,00:20:25.60,00:20:26.60,73536,73596,take spoon,take,0,spoon,1,['spoon'],[1],1.0251,10001.0251,take--spoon,pick3,pick,3,4,4,24,3
P01_01_254,P01,P01_01,00:20:36.309,00:20:36.14,00:20:38.93,74168,74335,put down spoon,put-down,1,spoon,1,['spoon'],[1],1.0254,10001.0254,put-down--spoon,place3,place,3,5,3,25,2
P01_01_255,P01,P01_01,00:20:46.289,00:20:47.89,00:20:49.76,74873,74985,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.0255,10001.0255,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_261,P01,P01_01,00:21:15.580,00:21:16.12,00:21:17.61,76567,76656,put down glass,put-down,1,glass,10,['glass'],[10],1.0261,10001.0261,put-down--glass,place1,place,1,3,3,27,2
P01_01_262,P01,P01_01,00:21:18.879,00:21:20.72,00:21:21.54,76843,76892,take spatula,take,0,spatula,20,['spatula'],[20],1.0262,10001.0262,take--spatula,pick3,pick,3,4,4,13,3
P01_01_265,P01,P01_01,00:21:32.480,00:21:35.96,00:21:36.98,77757,77818,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0265,10001.0265,put-down--spatula,place3,place,3,5,3,14,2
P01_01_266,P01,P01_01,00:21:42.610,00:21:44.50,00:21:45.45,78270,78327,take spatula,take,0,spatula,20,['spatula'],[20],1.0266,10001.0266,take--spatula,pick3,pick,3,4,4,13,3
P01_01_268,P01,P01_01,00:21:46.399,00:21:51.47,00:21:54.03,78688,78841,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0268,10001.0268,put-down--spatula,place3,place,3,5,3,14,2
P01_01_271,P01,P01_01,00:22:32.190,00:22:33.66,00:22:35.47,81219,81328,take spoon,take,0,spoon,1,['spoon'],[1],1.0271,10001.0271,take--spoon,pick3,pick,3,4,4,24,3
P01_01_274,P01,P01_01,00:22:45.840,00:22:46.01,00:22:49.61,81960,82176,put down spoon,put-down,1,spoon,1,['spoon'],[1],1.0274,10001.0274,put-down--spoon,place3,place,3,5,3,25,2
P01_01_275,P01,P01_01,00:22:48.830,00:22:49.72,00:22:53.80,82183,82428,turn off hob,turn-off,8,hob,24,['hob'],[24],1.0275,10001.0275,turn-off--hob,rotate3,rotate,3,13,6,28,4
P01_01_282,P01,P01_01,00:23:42.990,00:23:44.20,00:23:45.98,85452,85558,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],1.0282,10001.0282,put-down--saucepan,place4,place,4,7,3,23,2
P01_01_284,P01,P01_01,00:23:46.759,00:23:48.37,00:23:49.19,85702,85751,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0284,10001.0284,put-down--spatula,place3,place,3,5,3,14,2
P01_01_285,P01,P01_01,00:23:48.610,00:23:49.49,00:23:50.24,85769,85814,take spatula,take,0,spatula,20,['spatula'],[20],1.0285,10001.0285,take--spatula,pick3,pick,3,4,4,13,3
P01_01_287,P01,P01_01,00:23:54.970,00:23:56.35,00:23:57.03,86181,86221,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0287,10001.0287,put-down--spatula,place3,place,3,5,3,14,2
P01_01_292,P01,P01_01,00:24:02.919,00:24:03.85,00:24:04.93,86631,86695,take spatula,take,0,spatula,20,['spatula'],[20],1.0292,10001.0292,take--spatula,pick3,pick,3,4,4,13,3
P01_01_297,P01,P01_01,00:25:04.210,00:25:04.53,00:25:07.43,90271,90445,turn off hob,turn-off,8,hob,24,['hob'],[24],1.0297,10001.0297,turn-off--hob,rotate3,rotate,3,13,6,28,4
P01_01_301,P01,P01_01,00:25:46.679,00:25:48.75,00:25:49.85,92925,92991,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0301,10001.0301,put-down--spatula,place3,place,3,5,3,14,2
P01_01_305,P01,P01_01,00:25:55.970,00:25:56.82,00:25:58.67,93409,93520,take spatula,take,0,spatula,20,['spatula'],[20],1.0305,10001.0305,take--spatula,pick3,pick,3,4,4,13,3
P01_01_311,P01,P01_01,00:26:12.289,00:26:13.89,00:26:14.66,94433,94479,put down container,put-down,1,container,21,['container'],[21],1.0311,10001.0311,put-down--container,place1,place,1,3,3,29,2
P01_01_312,P01,P01_01,00:26:13.289,00:26:14.19,00:26:15.30,94451,94518,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0312,10001.0312,put-down--spatula,place3,place,3,5,3,14,2
P01_01_313,P01,P01_01,00:26:14.409,00:26:15.37,00:26:17.29,94522,94637,take plate,take,0,plate,2,['plate'],[2],1.0313,10001.0313,take--plate,pick1,pick,1,12,4,19,3
P01_01_314,P01,P01_01,00:26:16.220,00:26:17.78,00:26:19.15,94666,94749,put down plate,put-down,1,plate,2,['plate'],[2],1.0314,10001.0314,put-down--plate,place1,place,1,3,3,20,2
P01_01_315,P01,P01_01,00:26:17.220,00:26:19.22,00:26:20.16,94753,94809,take spatula,take,0,spatula,20,['spatula'],[20],1.0315,10001.0315,take--spatula,pick3,pick,3,4,4,13,3
P01_01_321,P01,P01_01,00:26:57.749,00:26:58.16,00:27:00.51,97089,97230,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.0321,10001.0321,put-down--spatula,place3,place,3,5,3,14,2
P01_01_322,P01,P01_01,00:26:59.950,00:27:00.99,00:27:03.13,97259,97387,put down pan,put-down,1,pan,5,['pan'],[5],1.0322,10001.0322,put-down--pan,place4,place,4,7,3,11,2
P01_01_327,P01,P01_01,00:27:12.820,00:27:14.97,00:27:16.13,98098,98167,close tap,turn-off,8,tap,0,['tap'],[0],1.0327,10001.0327,turn-off--tap,press0,press,0,6,5,10,4
P01_01_328,P01,P01_01,00:27:16.700,00:27:17.63,00:27:19.73,98257,98383,take plate,take,0,plate,2,['plate'],[2],1.0328,10001.0328,take--plate,pick1,pick,1,12,4,19,3
P01_01_329,P01,P01_01,00:27:18.639,00:27:20.40,00:27:21.69,98424,98501,put down plate,put-down,1,plate,2,['plate'],[2],1.0329,10001.0329,put-down--plate,place1,place,1,3,3,20,2
P01_02_0,P01,P01_02,00:00:05.210,00:00:05.07,00:00:06.84,304,410,take plate,take,0,plate,2,['plate'],[2],2.0,10002.0,take--plate,pick1,pick,1,12,4,19,3
P01_02_1,P01,P01_02,00:00:08.260,00:00:08.61,00:00:09.28,516,556,open bin,open,3,bin,36,['bin'],[36],2.0001,10002.0001,open--bin,uplift2,uplift,2,14,9,30,1
P01_02_4,P01,P01_02,00:00:20.860,00:00:21.01,00:00:22.56,1260,1353,put down plate,put-down,1,plate,2,['plate'],[2],2.0004,10002.0004,put-down--plate,place1,place,1,3,3,20,2
P01_02_12,P01,P01_02,00:00:35.550,00:00:34.64,00:00:35.70,2078,2142,take fork,take,0,fork,14,['fork'],[14],2.0012,10002.0012,take--fork,pick3,pick,3,4,4,21,3
P01_02_14,P01,P01_02,00:00:41.980,00:00:41.75,00:00:42.63,2505,2557,take knife,take,0,knife,4,['knife'],[4],2.0014,10002.0014,take--knife,pick3,pick,3,4,4,7,3
P01_02_16,P01,P01_02,00:00:49.320,00:00:49.51,00:00:50.02,2970,3001,put down knife,put-down,1,knife,4,['knife'],[4],2.0016,10002.0016,put-down--knife,place3,place,3,5,3,8,2
P01_02_17,P01,P01_02,00:00:50.320,00:00:50.32,00:00:51.14,3019,3068,take plate,take,0,plate,2,['plate'],[2],2.0017,10002.0017,take--plate,pick1,pick,1,12,4,19,3
P01_02_20,P01,P01_02,00:01:03.199,00:01:03.16,00:01:04.13,3789,3847,put down plate,put-down,1,plate,2,['plate'],[2],2.002,10002.002,put-down--plate,place1,place,1,3,3,20,2
P01_02_21,P01,P01_02,00:01:04.199,00:01:04.23,00:01:04.86,3853,3891,take spatula,take,0,spatula,20,['spatula'],[20],2.0021,10002.0021,take--spatula,pick3,pick,3,4,4,13,3
P01_02_26,P01,P01_02,00:01:20.479,00:01:20.12,00:01:22.00,4807,4920,put down spatula,put-down,1,spatula,20,['spatula'],[20],2.0026,10002.0026,put-down--spatula,place3,place,3,5,3,14,2
P01_02_29,P01,P01_02,00:01:28.530,00:01:28.08,00:01:29.72,5284,5383,put down colander,put-down,1,colander,39,['colander'],[39],2.0029,10002.0029,put-down--colander,place4,place,4,7,3,31,2
